[1121, 1112]
[1211, 1112]
[2111, 1112]
[1131, 1113]
[1311, 1113]
[1141, 1114]
[1411, 1114]
[1151, 1115]
[1511, 1115]
[1161, 1116]
[1611, 1116]
[1171, 1117]
[1711, 1117]
[1181, 1118]
[1811, 1118]
[1191, 1119]
[1911, 1119]
[1201, 1120]
[2011, 1120]
[1211, 1121]
[2111, 1121]
[1221, 1122]
[2112, 1122]
[2211, 1122]
[1231, 1123]
[1241, 1124]
[1251, 1125]
[1261, 1126]
[1271, 1127]
[1281, 1128]
[1291, 1129]
[1301, 1130]
[1311, 1131]
[1321, 1132]
[2113, 1132]
[1331, 1133]
[1341, 1134]
[1351, 1135]
[1361, 1136]
[1371, 1137]
[1381, 1138]
[1391, 1139]
[1401, 1140]
[1411, 1141]
[1421, 1142]
[2114, 1142]
[1431, 1143]
[1441, 1144]
[1451, 1145]
[1461, 1146]
[1471, 1147]
[1481, 1148]
[1491, 1149]
[1501, 1150]
[1511, 1151]
[1521, 1152]
[2115, 1152]
[1531, 1153]
[1541, 1154]
[1551, 1155]
[1561, 1156]
[1571, 1157]
[1581, 1158]
[1591, 1159]
[1601, 1160]
[1611, 1161]
[1621, 1162]
[2116, 1162]
[1631, 1163]
[1641, 1164]
[1651, 1165]
[1661, 1166]
[1671, 1167]
[1681, 1168]
[1691, 1169]
[1701, 1170]
[1711, 1171]
[1721, 1172]
[2117, 1172]
[1731, 1173]
[1741, 1174]
[1751, 1175]
[1761, 1176]
[1771, 1177]
[1781, 1178]
[1791, 1179]
[1801, 1180]
[1811, 1181]
[1821, 1182]
[2118, 1182]
[1831, 1183]
[1841, 1184]
[1851, 1185]
[1861, 1186]
[1871, 1187]
[1881, 1188]
[1891, 1189]
[1901, 1190]
[1911, 1191]
[1921, 1192]
[2119, 1192]
[1931, 1193]
[1941, 1194]
[1951, 1195]
[1961, 1196]
[1971, 1197]
[1981, 1198]
[1991, 1199]
[2001, 1200]
[2011, 1201]
[2021, 1202]
[2120, 1202]
[2031, 1203]
[2041, 1204]
[2051, 1205]
[2061, 1206]
[2071, 1207]
[2081, 1208]
[2091, 1209]
[2101, 1210]
[2111, 1211]
[2121, 1212]
[1312, 1213]
[2131, 1213]
[1412, 1214]
[2141, 1214]
[1512, 1215]
[2151, 1215]
[1612, 1216]
[2161, 1216]
[1712, 1217]
[2171, 1217]
[1812, 1218]
[2181, 1218]
[1912, 1219]
[2191, 1219]
[2012, 1220]
[2201, 1220]
[2112, 1221]
[2211, 1221]
[2122, 1222]
[2212, 1222]
[2221, 1222]
[2123, 1232]
[2124, 1242]
[2125, 1252]
[2126, 1262]
[2127, 1272]
[2128, 1282]
[2129, 1292]
[2130, 1302]
[2131, 1312]
[1413, 1314]
[1513, 1315]
[1613, 1316]
[1713, 1317]
[1813, 1318]
[1913, 1319]
[2013, 1320]
[2113, 1321]
[2132, 1322]
[2213, 1322]
[2133, 1332]
[2134, 1342]
[2135, 1352]
[2136, 1362]
[2137, 1372]
[2138, 1382]
[2139, 1392]
[2140, 1402]
[2141, 1412]
[1514, 1415]
[1614, 1416]
[1714, 1417]
[1814, 1418]
[1914, 1419]
[2014, 1420]
[2114, 1421]
[2142, 1422]
[2214, 1422]
[2143, 1432]
[2144, 1442]
[2145, 1452]
[2146, 1462]
[2147, 1472]
[2148, 1482]
[2149, 1492]
[2150, 1502]
[2151, 1512]
[1615, 1516]
[1715, 1517]
[1815, 1518]
[1915, 1519]
[2015, 1520]
[2115, 1521]
[2152, 1522]
[2215, 1522]
[2153, 1532]
[2154, 1542]
[2155, 1552]
[2156, 1562]
[2157, 1572]
[2158, 1582]
[2159, 1592]
[2160, 1602]
[2161, 1612]
[1716, 1617]
[1816, 1618]
[1916, 1619]
[2016, 1620]
[2116, 1621]
[2162, 1622]
[2216, 1622]
[2163, 1632]
[2164, 1642]
[2165, 1652]
[2166, 1662]
[2167, 1672]
[2168, 1682]
[2169, 1692]
[2170, 1702]
[2171, 1712]
[1817, 1718]
[1917, 1719]
[2017, 1720]
[2117, 1721]
[2172, 1722]
[2217, 1722]
[2173, 1732]
[2174, 1742]
[2175, 1752]
[2176, 1762]
[2177, 1772]
[2178, 1782]
[2179, 1792]
[2180, 1802]
[2181, 1812]
[1918, 1819]
[2018, 1820]
[2118, 1821]
[2182, 1822]
[2218, 1822]
[2183, 1832]
[2184, 1842]
[2185, 1852]
[2186, 1862]
[2187, 1872]
[2188, 1882]
[2189, 1892]
[2190, 1902]
[2191, 1912]
[2019, 1920]
[2119, 1921]
[2192, 1922]
[2219, 1922]
[2193, 1932]
[2194, 1942]
[2195, 1952]
[2196, 1962]
[2197, 1972]
[2198, 1982]
[2199, 1992]
[2200, 2002]
[2201, 2012]
[2120, 2021]
[2202, 2022]
[2220, 2022]
[2203, 2032]
[2204, 2042]
[2205, 2052]
[2206, 2062]
[2207, 2072]
[2208, 2082]
[2209, 2092]
[2210, 2102]
[2211, 2112]
[2212, 2122]
[2221, 2122]
[2213, 2132]
[2214, 2142]
[2215, 2152]
[2216, 2162]
[2217, 2172]
[2218, 2182]
[2219, 2192]
[2220, 2202]
[2221, 2212]
287
